id,occupations
1, Management occupations
2, Business and financial operations occupations
3, Computer and mathematical occupations
4, Architecture and engineering occupations
5, Life physical and social science occupations
6, Community and social service occupations
7, Legal occupations
8, Education training and library occupations
9, Arts design entertainment sports and media occupations
10, Healthcare practitioners and technical occupations
11, Healthcare support occupations
12, Protective service occupations
13, Building and grounds cleaning and maintenance occupations
14, Personal care and service occupations
15, Sales and related occupations
16, Office and administrative support occupations
17, Farming, fishing and forestry occupations
18, Construction and extraction occupations
19, Installation maintenance and repair occupations
20, Production occupations
21, Transportation and material moving occupations
